year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1962,58,Joey Dee,Shout,0,33
1962,59,Dave “Baby” Cortez,Rinky Dink,16,26
1962,60,Henry Mancini,Moon River,53,56
1962,61,Ray Stevens,Ahab The Arab,-1,41
1962,62,Bobby Darin,Things,27,62
1962,63,Gene Pitney,The Man Who Shot Liberty Valance,-1,47
1962,64,Duprees,You Belong To Me,-1,34
1962,65,Roy Orbison,Dream Baby,-1,68
1962,66,Joe Henderson,Snap Your Fingers,1,46
1962,67,Dion,Lovers Who Wander,38,78
1962,68,Chris Montez,Let’s Dance,-1,46
1962,69,Johnny Crawford,Cindy’s Birthday,-1,23
1962,70,Mary Wells,You Beat Me To The Punch,50,57
1962,71,Barbara Lynn,You’ll Lose A Good Thing,-1,41
1962,72,Crystals,Uptown,-1,58
1962,73,Brenda Lee,Everybody Loves Me But You,-1,75
1962,74,Dickie Lee,Patches,-1,0
1962,75,Jimmy Clanton,Venus In Blue Jeans,-1,27
1962,76,Paul Anka,Love Me Warm And Tender,-1,64
1962,77,Rick Nelson,Teen Age Idol,-1,0
1962,78,Patsy Cline,She’s Got You,-1,59
1962,79,Larry Finnegan,Dear One,-1,18
1962,80,James Darren,Her Royal Majesty,-1,29
1962,81,Walter Brennan,Old Rivers,11,19
1962,82,Burl Ives,Funny Way Of Laughin’,-1,73
1962,83,Billy Vaughn,A Swingin’ Safari,-1,48
1962,84,Dick and Deedee,Tell Me,-1,-1
1962,85,Jimmy Dean,P.T. 109,26,43
1962,86,Dion,Little Diane,11,78
1962,87,Billy Joe and The Checkmates,Percolator (Twist),-1,5
1962,88,Gary U.S. Bonds,"Twist, Twist Senora",-1,32
1962,89,Jimmy Soul,Twistin’ Matilda,-1,34
1962,90,Dee Dee Sharp,Gravy,27,35
1962,91,Jimmy Smith,Walk On The Wild Side,-1,49
1962,92,King Curtis,Soul Twist,2,42
1962,93,Bobby Rydell,I’ll Never Dance Again,-1,46
1962,94,Ikettes,I’m Blue,-1,29
1962,95,Kingston Trio,Where Have All The Flowers Gone,2,42
1962,96,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love",-1,28
1962,97,Gene Pitney,Town Without Pity,-1,47
1962,98,"Peter, Paul and Mary",If I Had A Hammer,29,55
1962,99,Ronnie and The Hi-lites,I Wish That We Were Married,-1,3
1962,100,Beach Boys,Surfin’ Safari,47,75
1963,1,Jimmy Gilmer and The Fireballs,Sugar Shack,-1,31
1963,2,Beach Boys,Surfin’ U.S.A.,68,75
1963,3,Skeeter Davis,The End Of The World,17,48
1963,4,Cascades,Rhythm Of The Rain,58,50
1963,5,Chiffons,He’s So Fine,-1,49
1963,6,Bobby Vinton,Blue Velvet,62,59
1963,7,Paul and Paula,Hey Paula,-1,33
1963,8,Little Stevie Wonder,Fingertips II,-1,-1
1963,9,Village Stompers,Washington Square,22,23
1963,10,Impressions,It’s All Right,-1,53
1963,11,Andy Williams,Can’t Get Used To Losing You,-1,76
1963,12,Angels,My Boyfriend’s Back,-1,59
1963,13,Kyu Sakamoto,Sukiyaki,-1,39
1963,14,Lesley Gore,She’s A Fool,-1,53
1963,15,Tymes,So Much In Love,38,35
1963,16,"Peter, Paul and Mary",Puff (The Magic Dragon),47,55
1963,17,"Peter, Paul and Mary",Blowin’ In The Wind,44,55
1963,18,Dale and Grace,I’m Leaving It Up To You,-1,24
1963,19,Nino Tempo and April Stevens,Deep Purple,-1,25
1963,20,The Surfaris,Wipe Out,43,41
1963,21,Al Martino,I Love You Because,23,47
1963,22,Rebels,Wild Weekend,-1,34
1963,23,Bobby Darin,You’re The Reason I’m Living,-1,62
1963,24,Four Seasons,Walk Like A Man,57,65
1963,25,Inez Foxx,Mockingbird,-1,19
1963,26,Little Peggy March,I Will Follow Him,47,36
1963,27,Chantays,Pipeline,38,32
1963,28,Jan and Dean,Surf City,-1,43
1963,29,Lesley Gore,It’s My Party,-1,53
1963,30,Eydie Gorme,Blame It On The Bossa Nova,29,56
1963,31,Dovells,You Can’t Sit Down,-1,28
1963,32,Martha and The Vandellas,Heat Wave,61,61
1963,33,Randy and The Rainbows,Denise,-1,30
1963,34,Rooftop Singers,Walk Right In,-1,28
1963,35,Jimmy Soul,If You Wanna Be Happy,-1,34
1963,36,Beach Boys,Surfer Girl,49,75
1963,37,Trini Lopez,If I Had A Hammer,33,41
1963,38,Tommy Roe,Everybody,12,42
1963,39,Essex,Easier Said Than Done,-1,46
1963,40,Dion,Ruby Baby,42,78
1963,41,Los Indios Tabajaras,Maria Elena,4,44
1963,42,Ruby and The Romantics,Our Day Will Come,37,26
1963,43,Skeeter Davis,I Can’t Stay Mad At You,-1,48
1963,44,Barbara Lewis,"Hello, Stranger",48,42
1963,45,Ronettes,Be My Baby,-1,70
1963,46,Roy Orbison,Mean Woman Blues,-1,68
1963,47,Orlons,South Street,16,29
1963,48,Henry Mancini,Days Of Wine And Roses,11,56
1963,49,Major Lance,The Monkey Time,-1,51
1963,50,Four Seasons,Candy Girl,26,65
1963,51,Bill Anderson,Still,-1,39
